Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2016-03-28,18.29741859436035,,20.501544952392578,15.08060359954834,46.41333770751953,19.536128997802734,40.480342864990234,22.46925163269043,17.848342895507812,57.09804153442383,35.119564056396484
2016-03-29,18.399667739868164,,20.598201751708984,15.10755729675293,46.71635818481445,19.84144401550293,40.78049087524414,22.956008911132812,18.112060546875,57.76078414916992,35.4757194519043
2016-03-30,18.48145866394043,,20.63819694519043,15.19515323638916,46.800540924072266,19.958189010620117,41.04983901977539,22.90589714050293,18.068105697631836,57.76927947998047,35.70114517211914
2016-03-31,18.326045989990234,,20.62820053100586,15.16146469116211,46.69110107421875,19.917781829833984,40.83435821533203,23.02043342590332,18.174325942993164,57.59085464477539,35.660552978515625
2016-04-01,18.501907348632812,,20.3515625,15.296236991882324,46.90996551513672,20.070438385009766,41.26533508300781,23.068391799926758,18.243911743164062,58.245113372802734,35.80934143066406
2016-04-04,18.26061248779297,,20.201574325561523,15.2221097946167,46.379669189453125,19.994110107421875,41.28071212768555,23.034748077392578,18.166996002197266,58.94184875488281,35.529815673828125
2016-04-05,18.146099090576172,,20.064918518066406,15.00648021697998,46.09348678588867,19.80103874206543,41.00366973876953,22.828588485717773,17.82636833190918,58.177120208740234,35.22776794433594
2016-04-06,18.354673385620117,,20.49820899963379,15.087342262268066,46.32073974609375,19.994110107421875,41.3268928527832,22.891582489013672,17.804391860961914,59.74052429199219,35.56137466430664
2016-04-07,18.088838577270508,,20.37822151184082,14.804328918457031,45.8746223449707,19.706750869750977,40.88054275512695,22.705476760864258,17.797067642211914,59.08627700805664,35.1601448059082
2016-04-08,18.207443237304688,,20.78818702697754,14.858231544494629,46.051387786865234,19.706750869750977,41.10371398925781,22.920211791992188,17.892295837402344,58.92483139038086,35.10604476928711
2016-04-11,18.28923988342285,,20.70152473449707,14.918878555297852,46.068214416503906,19.65286636352539,40.81127166748047,22.90589714050293,17.81537628173828,58.474525451660156,34.975303649902344
2016-04-12,18.542804718017578,,21.31814193725586,15.10755729675293,46.337581634521484,19.787567138671875,41.06523513793945,23.006113052368164,17.93990707397461,58.95033264160156,35.24128341674805
2016-04-13,18.72684097290039,,21.41813087463379,15.451221466064453,47.027793884277344,19.989620208740234,40.749698638916016,22.918073654174805,17.830028533935547,59.502620697021484,35.737186431884766
2016-04-14,18.73910903930664,,21.468130111694336,15.484911918640137,47.11197280883789,19.985132217407227,40.565006256103516,22.827157974243164,17.80805206298828,59.53658676147461,35.737186431884766
2016-04-15,18.82499122619629,,21.17815589904785,15.430999755859375,47.17930603027344,19.908802032470703,40.818973541259766,22.98464012145996,17.906951904296875,59.49409866333008,35.83637619018555
2016-04-18,18.91087532043457,,21.528121948242188,15.545562744140625,47.22138595581055,19.994110107421875,41.04983901977539,23.070539474487305,17.976533889770508,60.04639434814453,36.17451095581055
2016-04-19,19.315757751464844,,21.958084106445312,15.740974426269531,47.55809783935547,19.88185691833496,41.026763916015625,22.991792678833008,18.005842208862305,60.258827209472656,35.97614669799805
2016-04-20,19.25850486755371,,22.15473175048828,15.862261772155762,47.482330322265625,19.922264099121094,40.565006256103516,22.76273536682129,17.555328369140625,60.58170700073242,36.02122497558594
2016-04-21,19.172624588012695,,22.024744033813477,15.720759391784668,47.36448287963867,19.850425720214844,39.841590881347656,22.235902786254883,17.18906021118164,60.93856430053711,35.894989013671875
2016-04-22,19.307579040527344,,22.344722747802734,15.869001388549805,47.482330322265625,19.504697799682617,39.98781967163086,22.519365310668945,17.34288787841797,61.06602096557617,35.8228645324707
2016-04-25,19.242149353027344,,22.09473991394043,15.83530330657959,47.25505828857422,19.509187698364258,40.264862060546875,22.677553176879883,17.3758487701416,60.828102111816406,35.86344528198242
2016-04-26,19.39754867553711,,22.448041915893555,15.936385154724121,47.67591857910156,19.414894104003906,40.103248596191406,22.74125862121582,17.401493072509766,60.59868240356445,35.9490852355957
2016-04-27,19.56114387512207,,22.874666213989258,15.963336944580078,48.01264190673828,19.325092315673828,40.29564666748047,22.655366897583008,17.654216766357422,60.53071212768555,35.91303253173828
2016-04-28,19.377105712890625,,22.53470230102539,15.79487133026123,47.5496711730957,19.082637786865234,40.33412551879883,22.678272247314453,17.628583908081055,60.241825103759766,35.525325775146484
2016-04-29,19.262592315673828,,22.498035430908203,15.707281112670898,47.27189636230469,18.916501998901367,40.24946975708008,22.46209144592285,17.734798431396484,59.29869079589844,35.70564651489258
2016-05-02,19.33211898803711,,22.474699020385742,15.848779678344727,47.51600646972656,19.055694580078125,40.71123123168945,22.69831657409668,17.877643585205078,59.63856506347656,36.20607376098633
2016-05-03,19.01311683654785,,21.944751739501953,15.646628379821777,47.12881088256836,18.880584716796875,40.63425827026367,22.812847137451172,17.86298942565918,59.45164108276367,35.87245178222656
2016-05-04,18.820903778076172,,21.628116607666016,15.525338172912598,46.54800796508789,18.822214126586914,40.75739669799805,23.142118453979492,18.07176971435547,58.88233947753906,35.710147857666016
2016-05-05,18.72684097290039,,21.804763793945312,15.518599510192871,46.52275466918945,18.831188201904297,40.76511001586914,23.16359519958496,18.00218391418457,59.128753662109375,35.48023986816406
2016-05-06,18.878158569335938,,21.7547664642334,15.585980415344238,46.834205627441406,18.970380783081055,40.97288513183594,23.285274505615234,17.88497543334961,58.7803840637207,35.74170684814453
2016-05-09,18.649133682250977,,21.43812370300293,15.545562744140625,46.62376022338867,18.970380783081055,41.19606018066406,23.520069122314453,17.987525939941406,59.45164108276367,35.840904235839844
2016-05-10,18.9599552154541,,21.81475830078125,15.767916679382324,47.42340850830078,19.21733856201172,41.603946685791016,23.607393264770508,18.005842208862305,59.95294189453125,36.300743103027344
2016-05-11,18.894521713256836,,21.88142204284668,15.599459648132324,47.027793884277344,19.078144073486328,41.27304458618164,23.17790412902832,18.07176971435547,59.230690002441406,35.57040023803711
2016-05-12,18.976316452026367,,21.941423416137695,15.606203079223633,46.926788330078125,19.02426528930664,41.496212005615234,23.25664710998535,18.1779842376709,58.88233947753906,35.63801956176758
2016-05-13,18.792274475097656,,21.66144561767578,15.417524337768555,46.337581634521484,18.952417373657227,40.97288513183594,22.920934677124023,18.090076446533203,58.74641418457031,35.2142448425293
2016-05-16,19.11536979675293,,22.028078079223633,15.498387336730957,46.90996551513672,19.21733856201172,41.23455810546875,23.233739852905273,18.112060546875,59.54507827758789,35.43515396118164
2016-05-17,19.0172061920166,,22.13140296936035,15.410787582397461,46.68269348144531,19.02426528930664,40.426475524902344,22.8486385345459,17.804391860961914,58.92483139038086,35.033905029296875
2016-05-18,18.72684097290039,,21.918088912963867,15.680325508117676,46.52275466918945,19.060178756713867,39.957027435302734,22.285289764404297,17.471086502075195,59.1712532043457,34.83102798461914
2016-05-19,18.792274475097656,,21.92142105102539,15.532074928283691,46.085052490234375,18.956911087036133,40.34951400756836,22.240196228027344,17.646892547607422,58.669952392578125,34.799476623535156
2016-05-20,18.927234649658203,,22.051416397094727,15.63989543914795,46.32073974609375,19.185901641845703,40.1417236328125,22.39194679260254,17.687183380126953,59.213748931884766,35.02939987182617
2016-05-23,19.148075103759766,,21.9947452545166,15.626412391662598,46.236572265625,19.14998435974121,40.180206298828125,22.46209144592285,17.52968978881836,58.97581100463867,34.907684326171875
2016-05-24,19.274864196777344,,22.104736328125,15.862261772155762,46.71635818481445,19.509187698364258,40.51882553100586,22.61241912841797,17.70549774169922,59.82548522949219,35.326961517333984
2016-05-25,19.51206398010254,,22.454710006713867,16.030719757080078,47.03622055053711,19.64388656616211,40.58039855957031,22.76559829711914,17.654216766357422,60.1993522644043,35.52080535888672
2016-05-26,19.303489685058594,,22.361391067504883,15.936385154724121,46.90153503417969,19.706750869750977,40.74201202392578,22.74842643737793,17.855667114257812,60.20783615112305,35.59294509887695
2016-05-27,19.295312881469727,,22.374713897705078,16.044191360473633,47.07830047607422,19.80103874206543,40.788185119628906,22.8378963470459,17.88497543334961,60.479732513427734,35.75973892211914
2016-05-31,19.19715690612793,,22.288055419921875,16.003768920898438,47.069889068603516,19.84144401550293,40.52653121948242,22.8486385345459,18.00218391418457,60.62417221069336,35.72369384765625
2016-06-01,19.221694946289062,,22.294721603393555,16.037464141845703,47.11197280883789,19.792057037353516,40.94209289550781,22.76273536682129,18.049789428710938,60.8450927734375,35.70114517211914
2016-06-02,19.328031539916992,,22.264726638793945,16.071149826049805,47.17088317871094,19.77410125732422,40.95750427246094,22.83431625366211,18.057117462158203,61.62680435180664,35.899505615234375
2016-06-03,19.491619110107422,,22.178068161010742,15.842045783996582,47.12881088256836,19.72919464111328,41.21914291381836,22.93738555908203,18.342809677124023,61.42290115356445,35.66507339477539
2016-06-06,19.692014694213867,,22.66802215576172,15.936385154724121,47.5749397277832,19.765117645263672,41.26533508300781,22.948850631713867,18.317163467407227,61.754268646240234,35.755245208740234
2016-06-07,19.700191497802734,,23.181310653686523,15.902689933776855,47.80219268798828,19.845935821533203,41.21914291381836,22.96746063232422,18.302518844604492,61.371910095214844,35.80031967163086
2016-06-08,19.81470489501953,,23.127981185913086,15.91617202758789,48.105220794677734,19.886348724365234,41.46541976928711,23.077695846557617,18.412395477294922,61.58430862426758,35.840904235839844
2016-06-09,19.67156982421875,,22.951330184936523,15.801610946655273,48.096797943115234,19.890838623046875,41.627037048339844,23.12636375427246,18.569894790649414,61.48234939575195,35.75973892211914
2016-06-10,19.524337768554688,,22.454710006713867,15.606203079223633,47.53285217285156,19.738174438476562,41.657814025878906,23.013267517089844,18.522275924682617,60.98955535888672,35.385555267333984
2016-06-13,19.307579040527344,,22.388050079345703,15.498387336730957,47.019378662109375,19.518169403076172,41.3115119934082,23.006113052368164,18.500303268432617,60.505226135253906,35.19170379638672
2016-06-14,19.164443969726562,,22.374713897705078,15.269279479980469,47.027793884277344,19.563072204589844,41.47311019897461,22.898746490478516,18.599201202392578,60.59868240356445,35.101539611816406
2016-06-15,19.25032615661621,,22.32139015197754,15.28948974609375,47.04463195800781,19.513671875,41.34998321533203,23.134958267211914,18.481992721557617,60.18235397338867,35.200721740722656
2016-06-16,19.315757751464844,,22.214725494384766,15.329926490783691,47.12881088256836,19.55408477783203,41.565460205078125,23.2537784576416,18.599201202392578,60.394779205322266,35.31342315673828
2016-06-17,19.4000186920166,,22.441526412963867,15.317055702209473,47.16859817504883,19.423690795898438,41.397464752197266,23.21769905090332,18.66640281677246,59.76775360107422,35.257774353027344
2016-06-20,19.5109920501709,,22.636119842529297,15.40511703491211,47.60024642944336,19.50490951538086,41.52907180786133,23.23935317993164,18.596240997314453,60.14310836791992,35.57447814941406
2016-06-21,19.45756721496582,,22.904518127441406,15.493188858032227,47.566383361816406,19.640270233154297,41.63746643066406,23.426992416381836,18.62208366394043,59.93838119506836,35.493019104003906
2016-06-22,19.478118896484375,,22.777021408081055,15.479642868041992,47.43095397949219,19.572586059570312,41.66069793701172,23.405345916748047,18.533462524414062,60.10898971557617,35.44327163696289
