Date,AAPL,AMZN,AVGO,BRK-B,COST,CVX,GOOG,GOOGL,JNJ,JPM,LLY,MA,META,MSFT,NVDA,ORCL,TSLA,V,WMT,XOM
3/28/2016,23.82348824,28.99349976,11.71796322,141.2899933,128.6358032,61.90151596,36.37783813,37.35525894,82.20646667,45.42189407,59.79647446,85.96002197,112.8047714,47.10926437,0.852642596,34.97130585,15.350667,69.06104279,19.02625084,54.47775269
3/29/2016,24.38741684,29.69300079,11.79679966,141.8999939,130.8180695,62.31995773,36.93526077,37.98058701,82.89767456,45.13896942,60.7109642,87.41088867,115.2356796,48.13874054,0.866351426,35.04020309,15.34200001,70.27296448,19.00111008,54.67828369
3/30/2016,24.8132,29.93449974,12.01110458,142.4600067,132.7896881,62.27419281,37.22092056,38.10208893,82.77616119,45.65894318,60.77869034,88.38129425,113.8068924,48.43790436,0.875409067,35.2726593,15.1260004,71.57814026,19.21617699,54.67180634
3/31/2016,24.68410301,29.68199921,11.82511616,141.8800049,132.7728119,62.37226486,36.94419479,37.83232117,82.18367767,45.28424835,60.97344589,89.03135681,113.2115784,48.59627533,0.872226954,35.22100067,15.31799984,71.29847717,19.1295948,54.07024384
4/1/2016,24.91057777,29.92499924,12.07769108,143.7899933,133.3373566,61.62692642,37.19016647,38.16804123,82.9356308,45.78129959,62.1673584,90.32209778,115.1563034,48.89543152,0.884956539,35.43621445,15.83933258,72.33326721,19.28879929,53.66271973
4/4/2016,25.16650963,29.65950012,11.94068623,143.2200012,132.8991852,61.08425903,36.96105194,37.94240952,82.47992706,45.60412598,61.9641304,89.54953766,111.6736526,48.77225113,0.876388431,35.35873032,16.4659996,72.55699158,19.29997063,53.79210281
4/5/2016,24.86981773,29.30699921,11.86567974,141.1999969,131.4331665,60.58737946,36.58959961,37.61759186,82.75334167,44.95702744,61.84556961,88.8900528,111.3462219,48.00674057,0.87516427,34.89383316,17.03133392,71.75527954,19.1714859,53.17758179
4/6/2016,25.13027763,30.10400009,12.0577898,141.6999969,132.090332,62.00612259,36.98088837,38.08869934,83.11034393,45.30369568,63.30198288,89.4469986,112.8246155,48.49949646,0.876388431,35.08324051,17.69466782,72.91124725,19.28321648,53.88911819
4/7/2016,24.58218765,29.57150078,11.86108875,140.8099976,128.0965424,61.97344208,36.71259308,37.69445419,82.99641418,44.15587616,63.15802002,88.27642822,112.7551575,47.91875458,0.86733079,34.41172791,17.14666748,72.32393646,19.05417824,53.28107834
4/8/2016,24.60936928,29.72999954,11.95140457,141.0599976,127.7763443,62.98028946,36.65655136,37.66222,82.86726379,44.47941208,62.98867035,88.54077911,109.7685852,47.88356018,0.872961283,34.74746704,16.67133331,72.74345398,19.00949669,53.82442474
4/11/2016,24.69089508,29.79649925,11.91007328,140.9900055,125.5857239,62.26763535,36.5052948,37.56650925,82.76856232,44.83377838,62.61610794,88.23865509,108.1413498,47.7867775,0.878346622,34.77330017,16.66133308,72.54769135,18.82515526,53.89560699
4/12/2016,25.01250648,30.15850067,11.89629459,142.3999939,126.8242722,63.75178528,36.85194778,37.90273285,83.24706268,45.6657486,63.14109039,88.60681915,109.7487488,48.0859375,0.877367556,34.92884064,16.52133369,73.20022583,19.21617699,54.56185532
4/13/2016,25.37487221,30.74099922,12.20627785,144.0399933,127.970192,63.8106041,37.27993393,38.27912521,83.45213318,47.5992775,63.64066315,90.3910675,109.6495438,48.70184326,0.899399579,35.6979332,16.96866608,74.30964661,19.31394196,54.87234116
4/14/2016,25.38846016,31.03750038,12.15575886,143.7200012,127.5657272,64.05905151,37.35333252,38.4516983,83.42935181,48.21557236,64.03862762,90.78755188,109.9769516,48.71065521,0.901847839,35.63745499,16.79066658,74.88762665,19.21617699,55.26044083
4/15/2016,24.87887573,31.29450035,11.90088844,143.4499969,129.0570831,63.5687027,37.64096832,38.6803093,83.68760681,47.660923,63.95396423,91.26902008,108.7863083,48.96583557,0.908946812,35.44733047,16.96733284,74.65454865,19.28879929,54.96289063
4/18/2016,24.34212685,31.76749992,11.93227005,144.3800049,129.1666412,64.52977753,38.01837158,39.06116104,84.25726318,47.96906662,65.38493347,92.20358276,109.5899963,49.67852783,0.905030131,35.63745499,16.92533302,75.93173981,19.51224327,55.48684311
4/19/2016,24.21302986,31.39500046,11.56258774,145.9499969,129.4868011,65.70663452,37.389534,38.49435043,85.58647919,48.77791595,65.41035461,91.79764557,111.415657,49.61694336,0.888873219,35.48190308,16.49133301,75.2791748,19.48710823,55.76498032
4/20/2016,24.26285362,31.64949989,11.72791481,146.0899963,128.6947784,66.48465729,37.32704926,38.42838669,86.27008057,49.48662949,65.26643372,92.42069244,111.5446472,48.91304016,0.892300487,35.51647186,16.66466713,75.65207672,19.33069611,56.14662933
4/21/2016,24.00012779,31.54999924,11.58402252,144.8600006,127.5826111,66.29503632,37.64791489,38.6803093,86.26248932,48.9936142,65.51193237,92.08089447,112.5567245,49.08020782,0.891321421,35.42140961,16.55266762,75.31645203,19.12400818,56.14017105
4/22/2016,23.93445778,31.02499962,11.50595474,146.1100006,126.318718,66.69384766,35.64584732,36.58611679,86.07262421,49.27864075,65.90145111,91.99589539,109.6991272,45.56065369,0.887894094,35.17081833,16.91666794,73.75028992,19.19383621,56.61882782
4/25/2016,23.79856491,31.30999947,11.41181087,146.1799927,127.6583862,66.36695099,35.86307144,36.8062973,86.21689606,48.9936142,65.99459076,91.55222321,109.2427216,45.85102463,0.892300487,35.23994446,16.78800011,72.84598541,19.40331268,56.48947906
4/26/2016,23.63323402,30.84399986,11.53886414,147.0200043,128.576889,66.87691498,35.11867905,35.97120285,85.76119232,49.24782944,64.58054352,91.82597351,107.9131546,45.26148224,0.893034816,35.12759781,16.91600037,73.20956421,19.35583496,56.68351364
4/27/2016,22.15431976,30.32850075,11.59779739,147.6000061,128.255661,67.89683533,35.00461197,35.7773056,85.6548233,49.38648605,64.78375244,92.87384796,108.0421448,44.82155228,0.913353443,35.3004303,16.76466751,73.42399597,19.38934517,57.22039795
4/28/2016,21.47714043,30.10000038,11.32685375,146.0700073,127.9768295,66.94884491,34.26964569,34.96402359,85.43457794,48.9936142,64.74143982,91.74102783,115.8210907,43.90646744,0.886180401,34.85107422,16.51399994,72.41716003,19.24690056,56.94225693
4/29/2016,21.2302742,32.97949982,11.15540791,145.4799957,125.1796951,66.80501556,34.36834335,35.10386658,85.13077545,48.68548203,63.95396423,91.5616684,116.6644821,43.88005447,0.869778812,34.44491959,16.05066681,72.00696564,18.67712212,57.1815834
5/2/2016,21.20763016,34.19250107,11.18066502,146.8899994,127.5458603,67.54380035,34.6262207,35.4276886,85.63965607,49.1399765,64.98696899,92.29801941,117.6467743,44.53117752,0.881284356,34.82515717,16.12000084,73.14428711,18.8782177,57.65379333
5/3/2016,21.55641747,33.56600189,10.96023655,144.8300018,127.9515228,66.24275208,34.33609772,35.13163376,85.59409332,48.19245911,64.56362152,91.05187988,116.5156403,43.8008728,0.870757878,34.28938293,15.48799992,71.9603653,18.7134304,56.99399948
5/4/2016,21.33219528,33.54499817,10.87374878,144.2400055,128.0359497,65.76547241,34.50174713,35.27693558,85.23709869,47.42982483,63.39511871,90.86306763,117.1407394,43.88005447,0.850929141,33.95236588,14.83733273,71.84848022,18.76650047,56.88404083
